address,property_id,square_meters,total_floors,floor,type,price,days_on_market,rooms,city
"129 Park Ave, Berlin",ID016597,39,19,26,Residential,7487144,52,8,Berlin
"154 Broadway, Berlin",ID001641,39,18,1,Residential,7558754,236,6,Berlin
"286 High St, Berlin",ID011024,39,7,22,Commercial,8938974,49,8,Berlin
"187 Park Ave, Berlin",ID022726,40,25,12,Commercial,360198,293,5,Berlin
"102 Main St, Berlin",ID025019,40,25,23,Commercial,1276557,248,5,Berlin
"96 High St, Berlin",ID005731,40,16,27,Residential,3398926,189,6,Berlin
"231 Broadway, Berlin",ID024443,40,6,18,Commercial,3923662,322,6,Berlin
"275 Park Ave, Berlin",ID022495,40,3,24,Residential,5302660,254,8,Berlin
"90 Park Ave, Berlin",ID025028,40,14,8,Residential,5790444,361,9,Berlin
"77 High St, Berlin",ID005282,40,16,15,Commercial,7364088,199,6,Berlin
"146 Park Ave, Berlin",ID014257,40,6,1,Residential,7877150,133,5,Berlin
"26 Broadway, Berlin",ID012929,41,14,1,Commercial,1410385,23,1,Berlin
"273 Broadway, Berlin",ID017622,41,10,20,Residential,1485967,237,9,Berlin
"222 Main St, Berlin",ID019286,41,8,15,Residential,4942667,66,5,Berlin
"149 Park Ave, Berlin",ID007534,41,8,22,Commercial,8901110,89,6,Berlin
"173 High St, Berlin",ID000448,41,10,14,Commercial,9477156,305,2,Berlin
"146 Main St, Berlin",ID022618,42,23,9,Commercial,1131982,353,7,Berlin
"6 Park Ave, Berlin",ID003681,42,13,6,Commercial,1638393,299,1,Berlin
"28 High St, Berlin",ID013930,42,10,14,Residential,2057497,165,5,Berlin
"282 Park Ave, Berlin",ID001296,42,7,5,Residential,8003330,191,4,Berlin
"187 Park Ave, Berlin",ID005437,42,15,23,Residential,9456579,101,6,Berlin
"2 Broadway, Berlin",ID020724,43,28,23,Residential,291116,139,9,Berlin
"40 Main St, Berlin",ID020071,43,19,18,Residential,4595698,1,5,Berlin
"179 High St, Berlin",ID003028,43,26,21,Residential,6721446,98,5,Berlin
"244 Main St, Berlin",ID006932,43,28,25,Residential,8570037,256,8,Berlin
"100 Park Ave, Berlin",ID015802,43,29,5,Residential,8742677,179,8,Berlin
"259 Main St, Berlin",ID002980,43,24,4,Residential,9946066,165,9,Berlin
"1 High St, Berlin",ID014879,44,18,27,Commercial,2725123,335,8,Berlin
"33 Main St, Berlin",ID006284,44,18,26,Residential,2894828,94,9,Berlin
"102 Park Ave, Berlin",ID008742,44,5,10,Commercial,5039586,73,5,Berlin
"266 Park Ave, Berlin",ID023691,44,10,11,Commercial,5066365,286,6,Berlin
"227 Broadway, Berlin",ID015686,44,1,21,Residential,6394127,309,8,Berlin
"114 High St, Berlin",ID003485,44,10,27,Commercial,6998757,204,5,Berlin
"213 Main St, Berlin",ID017080,44,12,7,Residential,7572201,108,6,Berlin
"37 High St, Berlin",ID022684,44,25,5,Residential,7745560,104,1,Berlin
"279 Broadway, Berlin",ID021896,45,25,16,Residential,4123123,81,6,Berlin
"213 High St, Berlin",ID017553,45,8,18,Commercial,6738297,125,8,Berlin
"157 High St, Berlin",ID022332,46,14,25,Residential,950999,265,1,Berlin
"202 High St, Berlin",ID008969,46,14,1,Commercial,2798602,321,6,Berlin
"288 Main St, Berlin",ID014365,46,7,29,Commercial,4097282,227,8,Berlin
"8 Main St, Berlin",ID015432,46,14,23,Residential,4400890,339,9,Berlin
"123 Park Ave, Berlin",ID007878,46,2,24,Commercial,4746736,143,5,Berlin
"190 Park Ave, Berlin",ID011965,46,3,12,Commercial,5301480,341,5,Berlin
"281 Broadway, Berlin",ID021883,46,26,2,Commercial,5987542,59,7,Berlin
"196 High St, Berlin",ID014216,47,13,2,Commercial,1266615,28,2,Berlin
"7 Main St, Berlin",ID001352,47,25,28,Residential,2600647,57,5,Berlin
"178 Broadway, Berlin",ID016322,47,4,19,Residential,3097769,358,4,Berlin
"175 Main St, Berlin",ID002759,47,3,23,Residential,3241155,214,1,Berlin
"33 Park Ave, Berlin",ID024285,47,3,29,Commercial,4720532,240,7,Berlin
"9 Broadway, Berlin",ID018042,47,19,24,Commercial,6652372,26,1,Berlin
"146 Main St, Berlin",ID025089,47,19,26,Residential,6667940,328,1,Berlin
"182 Broadway, Berlin",ID015782,48,6,6,Commercial,2080252,354,9,Berlin
"151 High St, Berlin",ID025476,48,28,8,Commercial,4684858,168,7,Berlin
"72 Main St, Berlin",ID023234,48,7,14,Residential,5927122,209,4,Berlin
"152 Park Ave, Berlin",ID017039,48,5,27,Commercial,6442917,249,6,Berlin
"126 Park Ave, Berlin",ID002989,49,10,11,Commercial,167713,232,7,Berlin
"82 Broadway, Berlin",ID000719,49,29,10,Commercial,602725,274,7,Berlin
"110 High St, Berlin",ID020755,49,27,22,Residential,1245207,289,5,Berlin
"155 Park Ave, Berlin",ID008369,49,9,27,Commercial,4854986,133,3,Berlin
"266 High St, Berlin",ID003739,49,28,19,Commercial,5115777,295,6,Berlin
"281 Park Ave, Berlin",ID024764,49,19,1,Commercial,5499766,363,1,Berlin
"269 Broadway, Berlin",ID004361,49,24,20,Commercial,6027444,159,2,Berlin
"47 Park Ave, Berlin",ID012498,49,27,13,Residential,6927736,325,6,Berlin
"267 Main St, Berlin",ID008968,49,22,22,Commercial,7014704,359,9,Berlin
"132 Main St, Berlin",ID011663,49,7,12,Residential,9233037,362,5,Berlin
"237 Main St, Berlin",ID010668,49,13,24,Commercial,9266705,210,5,Berlin
"50 Park Ave, Berlin",ID019089,50,13,29,Commercial,3196182,8,6,Berlin
"206 High St, Berlin",ID007088,50,28,26,Commercial,3365517,151,3,Berlin
"268 Broadway, Berlin",ID018767,50,17,1,Commercial,3949738,107,8,Berlin
"233 Broadway, Berlin",ID017341,50,9,6,Residential,4665907,309,3,Berlin
"73 Park Ave, Berlin",ID002709,50,25,4,Residential,5566714,350,9,Berlin
"299 Park Ave, Berlin",ID008625,50,14,18,Residential,5963912,86,9,Berlin
"211 Main St, Berlin",ID013668,50,19,17,Commercial,6549576,23,5,Berlin
"15 Park Ave, Berlin",ID012181,50,28,10,Commercial,7011456,208,5,Berlin
"64 Park Ave, Berlin",ID019770,50,5,1,Commercial,7649786,329,6,Berlin
"125 Main St, Berlin",ID009305,50,27,19,Residential,8831161,190,9,Berlin
"135 Park Ave, Berlin",ID012621,51,3,3,Commercial,308202,99,8,Berlin
"44 High St, Berlin",ID010927,51,8,29,Commercial,1750725,155,3,Berlin
"221 Broadway, Berlin",ID008889,51,22,13,Residential,3862452,251,2,Berlin
"214 Park Ave, Berlin",ID024580,51,5,3,Residential,4733841,83,9,Berlin
"38 High St, Berlin",ID019611,51,9,10,Residential,5229156,130,8,Berlin
"71 High St, Berlin",ID014384,51,12,23,Residential,5432440,75,5,Berlin
"54 Park Ave, Berlin",ID013197,51,26,28,Commercial,6709613,312,7,Berlin
"53 Park Ave, Berlin",ID000984,51,28,1,Residential,9062910,331,9,Berlin
"211 High St, Berlin",ID003095,51,28,13,Residential,9068539,23,8,Berlin
"232 Main St, Berlin",ID008411,52,17,5,Residential,719173,91,4,Berlin
"86 Main St, Berlin",ID022058,52,24,23,Residential,2231465,296,3,Berlin
"41 High St, Berlin",ID005963,52,24,9,Commercial,7218338,3,2,Berlin
"35 Park Ave, Berlin",ID000260,52,20,19,Commercial,9095222,257,9,Berlin
"166 High St, Berlin",ID012165,53,20,23,Commercial,2495606,317,4,Berlin
"221 Broadway, Berlin",ID024572,53,17,4,Commercial,4381636,196,7,Berlin
"177 Broadway, Berlin",ID023660,53,6,25,Residential,9344512,222,4,Berlin
"295 Park Ave, Berlin",ID023709,54,26,24,Commercial,361228,327,7,Berlin
"255 High St, Berlin",ID017953,54,23,7,Commercial,415448,63,9,Berlin
"103 Main St, Berlin",ID009673,54,29,27,Commercial,1620026,47,7,Berlin
"27 High St, Berlin",ID022126,54,12,25,Residential,3035959,213,5,Berlin
"248 Park Ave, Berlin",ID008977,54,5,10,Commercial,3725690,147,3,Berlin
"205 Broadway, Berlin",ID011100,54,24,14,Commercial,4084099,56,5,Berlin
"62 High St, Berlin",ID011344,54,27,15,Residential,7229181,105,7,Berlin
"270 High St, Berlin",ID006796,54,10,21,Commercial,8140524,316,2,Berlin
"21 Park Ave, Berlin",ID001081,55,27,21,Commercial,715425,338,6,Berlin
"198 High St, Berlin",ID003158,55,15,13,Commercial,2227252,306,3,Berlin
"48 Park Ave, Berlin",ID010128,55,13,24,Residential,2779949,212,7,Berlin
"101 Park Ave, Berlin",ID000598,55,12,10,Commercial,2977106,259,9,Berlin
"128 Park Ave, Berlin",ID016109,55,21,4,Residential,8410395,124,7,Berlin
"228 Broadway, Berlin",ID014830,55,23,3,Commercial,8592884,196,6,Berlin
"216 High St, Berlin",ID021383,55,6,27,Residential,9118473,130,5,Berlin
"168 High St, Berlin",ID006155,55,25,15,Commercial,9631083,227,2,Berlin
"170 Park Ave, Berlin",ID000746,56,1,9,Commercial,8121050,62,6,Berlin
"264 Broadway, Berlin",ID020750,56,1,18,Commercial,8768437,55,6,Berlin
"34 Park Ave, Berlin",ID016056,56,21,25,Commercial,9858606,212,2,Berlin
"186 Broadway, Berlin",ID014206,57,3,15,Residential,1962268,39,3,Berlin
"109 Park Ave, Berlin",ID024142,57,12,29,Commercial,4582809,344,9,Berlin
"113 Main St, Berlin",ID024903,57,10,9,Residential,4687389,73,2,Berlin
"50 Main St, Berlin",ID017674,57,6,23,Commercial,5985480,88,1,Berlin
"99 High St, Berlin",ID003548,57,26,7,Residential,6977523,24,5,Berlin
"64 Main St, Berlin",ID020824,58,1,3,Residential,1531992,100,1,Berlin
"202 High St, Berlin",ID003066,58,22,20,Residential,4223467,14,3,Berlin
"219 Park Ave, Berlin",ID012760,58,9,21,Residential,6192506,272,7,Berlin
"140 High St, Berlin",ID000947,58,4,16,Commercial,7131271,97,2,Berlin
"86 Main St, Berlin",ID018009,58,24,28,Residential,7457002,54,1,Berlin
"45 Main St, Berlin",ID021766,59,27,29,Residential,1287779,69,6,Berlin
"11 Main St, Berlin",ID014198,59,12,12,Residential,2723157,288,3,Berlin
"34 High St, Berlin",ID010119,59,27,29,Residential,3440098,27,6,Berlin
"29 Park Ave, Berlin",ID018967,59,12,29,Residential,6275486,290,6,Berlin
"144 Park Ave, Berlin",ID012155,59,27,9,Commercial,6933394,261,4,Berlin
"92 Park Ave, Berlin",ID007739,59,21,20,Commercial,7737213,149,7,Berlin
"158 Main St, Berlin",ID010358,59,28,19,Commercial,8101091,99,7,Berlin
"240 High St, Berlin",ID008143,60,13,20,Residential,343962,290,9,Berlin
"168 High St, Berlin",ID008335,60,13,5,Commercial,2201242,320,6,Berlin
"70 Park Ave, Berlin",ID021223,60,2,27,Residential,5655476,162,6,Berlin
"145 High St, Berlin",ID014749,60,23,15,Commercial,6630396,193,5,Berlin
"260 Broadway, Berlin",ID017008,60,5,7,Residential,9994087,131,9,Berlin
"38 Main St, Berlin",ID002911,61,10,5,Residential,1549663,14,1,Berlin
"284 High St, Berlin",ID000220,61,11,17,Commercial,8036465,267,3,Berlin
"139 Park Ave, Berlin",ID014558,61,6,10,Commercial,8508125,142,9,Berlin
"169 Main St, Berlin",ID011505,62,3,21,Commercial,674363,187,7,Berlin
"155 High St, Berlin",ID003957,62,29,7,Commercial,677257,124,2,Berlin
"209 Main St, Berlin",ID012477,62,6,14,Commercial,3754039,216,3,Berlin
"86 High St, Berlin",ID016864,62,15,29,Commercial,5099015,257,5,Berlin
"284 Park Ave, Berlin",ID004043,63,12,28,Commercial,1569213,344,6,Berlin
"208 Park Ave, Berlin",ID007846,63,19,14,Residential,1858028,85,3,Berlin
"284 High St, Berlin",ID006368,63,8,12,Commercial,8507561,362,7,Berlin
"162 Park Ave, Berlin",ID003863,63,9,22,Commercial,8978571,138,8,Berlin
"197 High St, Berlin",ID018037,64,9,22,Residential,373420,76,9,Berlin
"45 Park Ave, Berlin",ID012168,64,6,7,Commercial,1120006,181,5,Berlin
"245 High St, Berlin",ID017235,64,14,13,Commercial,1159432,320,7,Berlin
"281 Main St, Berlin",ID003665,64,17,23,Commercial,1507950,115,8,Berlin
"152 High St, Berlin",ID001290,64,16,19,Residential,2220749,236,1,Berlin
"99 Park Ave, Berlin",ID012025,64,12,20,Residential,2520491,58,8,Berlin
"265 Broadway, Berlin",ID006993,64,21,5,Commercial,4731169,295,4,Berlin
"247 Main St, Berlin",ID003022,64,8,23,Commercial,6911595,294,4,Berlin
"45 Main St, Berlin",ID023337,64,23,3,Residential,7144005,195,6,Berlin
"21 Broadway, Berlin",ID008373,64,4,28,Residential,9503005,185,4,Berlin
"10 High St, Berlin",ID001882,65,18,5,Commercial,3353053,133,4,Berlin
"114 Park Ave, Berlin",ID007047,65,1,4,Commercial,5699738,129,4,Berlin
"90 Park Ave, Berlin",ID000847,65,28,6,Residential,9022489,29,2,Berlin
"123 High St, Berlin",ID000457,66,22,16,Residential,3074973,42,5,Berlin
"133 Park Ave, Berlin",ID012657,66,18,26,Commercial,3845268,160,7,Berlin
"210 Main St, Berlin",ID016808,66,12,21,Residential,3886864,201,2,Berlin
"292 Broadway, Berlin",ID019121,66,2,19,Residential,4130002,11,1,Berlin
"246 Park Ave, Berlin",ID011313,66,26,16,Residential,7369465,259,9,Berlin
"4 Main St, Berlin",ID021508,67,28,19,Residential,1916257,357,6,Berlin
"81 Broadway, Berlin",ID024770,67,20,1,Commercial,3311865,208,4,Berlin
"60 Main St, Berlin",ID003465,67,6,15,Residential,7703497,57,9,Berlin
"236 Broadway, Berlin",ID005291,68,20,4,Residential,1223998,161,7,Berlin
"241 Park Ave, Berlin",ID005403,68,16,17,Residential,1525955,37,8,Berlin
"92 High St, Berlin",ID012141,68,15,15,Commercial,2923805,188,2,Berlin
"294 Park Ave, Berlin",ID012705,68,27,15,Residential,3770626,46,2,Berlin
"132 Main St, Berlin",ID000573,68,25,16,Commercial,3850528,89,9,Berlin
"223 Park Ave, Berlin",ID021747,68,23,4,Commercial,7147770,5,6,Berlin
"121 High St, Berlin",ID000861,68,27,7,Residential,7304156,332,3,Berlin
"59 High St, Berlin",ID022994,68,9,23,Residential,7428416,68,9,Berlin
"183 Broadway, Berlin",ID022501,68,23,25,Commercial,7616286,114,9,Berlin
"225 Park Ave, Berlin",ID004582,68,19,20,Commercial,7621372,69,1,Berlin
"40 Broadway, Berlin",ID006391,68,23,1,Residential,9340516,352,3,Berlin
"154 High St, Berlin",ID021423,68,19,2,Residential,9534773,56,2,Berlin
"67 Park Ave, Berlin",ID021651,69,5,20,Commercial,2684575,254,8,Berlin
"85 Park Ave, Berlin",ID002186,69,4,5,Commercial,3815082,329,4,Berlin
"124 Main St, Berlin",ID021549,69,8,13,Commercial,3892224,29,7,Berlin
"119 Park Ave, Berlin",ID016406,69,25,23,Commercial,4818373,47,3,Berlin
"153 Park Ave, Berlin",ID006747,69,8,20,Residential,5940895,248,7,Berlin
"181 Park Ave, Berlin",ID009014,69,23,7,Commercial,6783639,218,7,Berlin
"71 High St, Berlin",ID016673,69,4,7,Residential,7606289,5,3,Berlin
"63 Main St, Berlin",ID015189,69,1,18,Commercial,8080904,78,1,Berlin
"44 Park Ave, Berlin",ID014763,69,25,21,Commercial,9084320,331,9,Berlin
"185 High St, Berlin",ID018536,69,25,19,Commercial,9950656,281,8,Berlin
"61 Main St, Berlin",ID007570,70,10,29,Commercial,309432,223,4,Berlin
"126 Main St, Berlin",ID019687,70,9,19,Residential,1271748,216,2,Berlin
"240 High St, Berlin",ID014697,70,25,3,Commercial,1464716,345,2,Berlin
"255 Broadway, Berlin",ID024207,70,4,16,Residential,2278409,288,6,Berlin
"88 High St, Berlin",ID012435,70,15,8,Residential,2481072,174,2,Berlin
"94 Main St, Berlin",ID008886,70,24,19,Commercial,3859707,61,6,Berlin
"34 Main St, Berlin",ID021783,71,25,5,Residential,352436,336,9,Berlin
"277 High St, Berlin",ID025359,71,3,22,Residential,688246,265,4,Berlin
"255 High St, Berlin",ID013420,71,5,17,Commercial,1400834,291,9,Berlin
"268 Main St, Berlin",ID014253,71,28,22,Commercial,4113385,128,5,Berlin
"247 Main St, Berlin",ID020266,71,15,8,Residential,4117234,172,3,Berlin
"89 Main St, Berlin",ID002866,71,27,14,Commercial,4628252,94,9,Berlin
"148 High St, Berlin",ID009961,71,7,8,Residential,6247191,217,3,Berlin
"108 Park Ave, Berlin",ID004723,72,24,3,Residential,4223183,158,4,Berlin
"246 High St, Berlin",ID013210,72,4,5,Commercial,5310222,37,6,Berlin
"81 High St, Berlin",ID012804,72,28,15,Commercial,6554757,195,5,Berlin
"75 Broadway, Berlin",ID019724,72,8,18,Commercial,6948668,42,7,Berlin
"258 Broadway, Berlin",ID003822,72,24,9,Residential,7273038,238,7,Berlin
"266 Main St, Berlin",ID016998,72,3,7,Residential,8294911,264,7,Berlin
"71 High St, Berlin",ID014054,73,10,12,Commercial,4577006,169,2,Berlin
"260 Main St, Berlin",ID001178,73,2,29,Commercial,6563299,294,4,Berlin
"279 Park Ave, Berlin",ID024756,73,19,17,Commercial,9058053,52,5,Berlin
"26 Main St, Berlin",ID006763,74,14,28,Residential,2813449,132,7,Berlin
"253 High St, Berlin",ID021335,74,12,5,Residential,6145437,86,1,Berlin
"24 Broadway, Berlin",ID008944,74,23,4,Commercial,6742247,190,6,Berlin
"247 Broadway, Berlin",ID010789,74,29,10,Residential,8378821,139,9,Berlin
"71 High St, Berlin",ID004407,75,5,12,Commercial,973291,56,8,Berlin
"47 High St, Berlin",ID002678,75,17,26,Commercial,1351206,124,2,Berlin
"188 Broadway, Berlin",ID002818,75,19,28,Commercial,3979597,25,7,Berlin
"2 Main St, Berlin",ID013792,75,24,18,Residential,6457380,339,2,Berlin
"80 Broadway, Berlin",ID013360,75,15,18,Residential,7596926,299,4,Berlin
"72 Broadway, Berlin",ID020190,75,8,8,Residential,9618539,136,8,Berlin
"47 Main St, Berlin",ID007814,76,5,27,Residential,234042,264,2,Berlin
"214 Park Ave, Berlin",ID005636,76,21,6,Residential,1330440,101,3,Berlin
"104 High St, Berlin",ID005795,76,28,18,Residential,2184845,334,6,Berlin
"49 Park Ave, Berlin",ID015746,76,2,28,Commercial,4109170,74,2,Berlin
"214 Park Ave, Berlin",ID022862,76,22,12,Commercial,6633368,85,7,Berlin
"116 Park Ave, Berlin",ID005591,76,8,7,Residential,6754208,297,8,Berlin
"106 Main St, Berlin",ID009698,77,12,29,Residential,1757378,48,5,Berlin
"239 High St, Berlin",ID000163,77,18,12,Residential,4173152,265,9,Berlin
"133 High St, Berlin",ID024532,78,28,24,Residential,5011426,104,1,Berlin
"219 Park Ave, Berlin",ID001248,78,21,13,Commercial,5325881,113,8,Berlin
"220 Park Ave, Berlin",ID014781,78,16,29,Commercial,5822769,41,3,Berlin
"259 Main St, Berlin",ID005745,78,17,6,Residential,6743263,48,5,Berlin
"216 Park Ave, Berlin",ID024986,78,9,17,Commercial,8186830,230,1,Berlin
"70 High St, Berlin",ID017144,78,22,15,Commercial,8258719,129,6,Berlin
"174 Park Ave, Berlin",ID014319,78,5,13,Commercial,9916851,356,5,Berlin
"111 Park Ave, Berlin",ID004833,79,25,6,Commercial,4407740,58,3,Berlin
"233 High St, Berlin",ID021433,79,26,25,Residential,6763244,99,8,Berlin
"77 Main St, Berlin",ID007089,79,13,29,Commercial,8431568,123,3,Berlin
"73 Broadway, Berlin",ID024979,79,15,17,Commercial,9969774,153,6,Berlin
"157 Park Ave, Berlin",ID002860,80,3,14,Residential,175927,345,3,Berlin
"102 Broadway, Berlin",ID016447,81,25,21,Residential,233916,53,9,Berlin
"202 Park Ave, Berlin",ID003448,81,12,26,Residential,1422335,38,2,Berlin
"240 Park Ave, Berlin",ID023175,81,12,5,Residential,2661453,231,7,Berlin
"69 High St, Berlin",ID007168,81,27,17,Residential,3919613,119,4,Berlin
"145 High St, Berlin",ID023228,81,25,25,Commercial,4219015,357,7,Berlin
"214 Park Ave, Berlin",ID004555,81,3,3,Commercial,4439771,153,5,Berlin
"40 Broadway, Berlin",ID003698,81,22,25,Residential,6040818,258,6,Berlin
"238 Main St, Berlin",ID002170,81,17,14,Residential,9805956,291,8,Berlin
"86 Main St, Berlin",ID013134,82,10,2,Commercial,184577,182,5,Berlin
"240 Main St, Berlin",ID015597,82,16,23,Commercial,2443758,84,3,Berlin
"125 High St, Berlin",ID015462,82,12,7,Commercial,5944053,48,4,Berlin
"142 Main St, Berlin",ID005715,82,17,20,Commercial,8786045,106,4,Berlin
"43 High St, Berlin",ID008612,82,4,7,Commercial,8888648,125,9,Berlin
